,Cell_ID,streets_in,fclass,geometry,centroids
10,10,"{'נגיב מחפוז', 'שם הגדולים', 'יפת', 'פחד יצחק'}","{'residential', 'tertiary'}","POLYGON ((34.74841920000006 32.03694180000008, 34.748502200000075 32.036901700000044, 34.74856520000003 32.03684750000008, 34.748756300000025 32.036706200000026, 34.74905800000005 32.03654250000005, 34.74889190000005 32.036382900000035, 34.74836250000004 32.03587170000003, 34.74798660000005 32.03550880000006, 34.74739990000006 32.03595400000006, 34.74779140000004 32.03636360000007, 34.74800060000007 32.036582500000065, 34.74806110000003 32.03665270000005, 34.74815460000008 32.03678370000006, 34.74820340000008 32.03686810000005, 34.74826440000004 32.03693190000007, 34.74834370000008 32.03694910000007, 34.74841920000006 32.03694180000008))",POINT (34.74820995097651 32.03625305938)
11,11,{'איילון דרום'},{'motorway'},"POLYGON ((34.76007350000003 32.03714430000008, 34.760153700000046 32.03713860000005, 34.76024140000004 32.03711990000005, 34.76027607100008 32.03710625700006, 34.76020810000006 32.03702990000005, 34.76005470000007 32.03679800000003, 34.75992730000007 32.03657400000003, 34.759799100000066 32.03631500000006, 34.75970710000007 32.03610560000004, 34.75960440000006 32.035853200000076, 34.75956627700003 32.03570677600004, 34.75949170000007 32.03572610000003, 34.75941960000006 32.03575340000003, 34.759348500000044 32.03579890000003, 34.75928520000008 32.035882300000026, 34.75923930000005 32.03594510000005, 34.75922970000005 32.035974700000054, 34.75919660000005 32.03606720000005, 34.759176000000025 32.03612470000007, 34.75917090000007 32.03624770000005, 34.75917320000008 32.03627930000005, 34.759176800000034 32.036329600000045, 34.75918360000003 32.03637450000008, 34.759194200000024 32.03644420000006, 34.75923500000005 32.03655670000006, 34.75930480000005 32.03669320000006, 34.759385200000054 32.03681140000003, 34.75944150000004 32.03687350000007, 34.759554200000025 32.036973500000045, 34.75964540000007 32.03703720000004, 34.759739300000035 32.03708420000004, 34.759822400000076 32.037109900000075, 34.75991320000003 32.03713810000005, 34.760005600000056 32.03714540000004, 34.76007350000003 32.03714430000008))",POINT (34.75961430048334 32.03650328610052)
12,12,"{'שדרות ירושלים', 'חריף אייזיק', 'שדרות הבעש""ט', 'יפת', 'סהרון'}","{'secondary', 'residential', 'tertiary'}","POLYGON ((34.75540680000006 32.038008700000034, 34.75558210000003 32.037890600000026, 34.755537900000036 32.03780020000005, 34.755435300000045 32.03754440000006, 34.755173100000036 32.03686730000004, 34.75501850000006 32.03657890000005, 34.75491420000003 32.036433600000066, 34.75485020000008 32.03636910000006, 34.75475990000007 32.03627800000004, 34.75406840000005 32.03602440000003, 34.75325620000007 32.03574970000005, 34.752864600000066 32.03554900000006, 34.752685400000075 32.035432300000025, 34.75235850000007 32.035123200000044, 34.75219110000006 32.03493750000007, 34.75202370000005 32.034709700000064, 34.75181870000006 32.034356700000046, 34.751670200000035 32.03405170000008, 34.75103770000004 32.034262900000044, 34.75100990000004 32.03427000000005, 34.75056930000005 32.03438230000006, 34.75031240000004 32.034447700000044, 34.750153700000055 32.034480200000075, 34.74991630000005 32.03444220000006, 34.74966490000003 32.034401900000034, 34.74939710000007 32.034359100000074, 34.749366000000066 32.034356600000024, 34.74919240000003 32.034371100000044, 34.74881410000006 32.034399800000074, 34.748700900000074 32.03441410000005, 34.748639800000035 32.03471600000006, 34.74848980000007 32.03500450000007, 34.74827820000007 32.035254000000066, 34.748058600000036 32.03543970000004, 34.74893760000003 32.03629150000006, 34.74913830000003 32.03648670000007, 34.74939920000003 32.03649380000007, 34.749285600000064 32.03652770000008, 34.749244400000066 32.03658850000005, 34.74967490000006 32.036982100000046, 34.749965400000065 32.03733790000007, 34.75000330000006 32.037384700000075, 34.750327800000036 32.03736040000007, 34.75068410000006 32.037429700000075, 34.751476800000034 32.03756160000006, 34.75189900000004 32.037609400000065, 34.75322550000004 32.03776480000005, 34.75423100000006 32.03789670000003, 34.754621100000065 32.037947400000064, 34.75484340000003 32.037976800000024, 34.755191000000025 32.03802280000008, 34.75540680000006 32.038008700000034))",POINT (34.75166595632019 32.03618395518339)
13,13,"{'איילון צפון', 'שדרות לוי אשכול', 'תל גיבורים', 'איילון דרום'}","{'motorway', 'secondary', 'tertiary'}","POLYGON ((34.77764970000004 32.03799920000006, 34.77761860000004 32.03769340000002, 34.777616022000075 32.037581156000044, 34.77750240000006 32.03750220000006, 34.77705750000007 32.03717840000007, 34.77645750000005 32.03681430000006, 34.77618120000005 32.03666130000005, 34.77599610000004 32.03656420000004, 34.775879900000064 32.03651270000006, 34.77578160000007 32.03646870000006, 34.77552940000004 32.03635510000004, 34.77519150000006 32.03623230000005, 34.77483980000005 32.036105400000054, 34.77455850000007 32.03601400000008, 34.77389380000005 32.03584820000003, 34.77343090000005 32.03577370000005, 34.772952900000064 32.03573300000005, 34.77259850000007 32.03572260000004, 34.77218960000005 32.035736400000076, 34.77190120000006 32.03576300000003, 34.771647200000075 32.03579990000003, 34.77108930000003 32.03590900000006, 34.77073520000005 32.03599090000006, 34.76931420000005 32.03642460000003, 34.76914234100008 32.036485535000054, 34.769138800000064 32.036534000000074, 34.76913080000003 32.03674580000006, 34.769142067000075 32.03703246800006, 34.76944240000006 32.036889400000064, 34.769701300000065 32.03677320000003, 34.77007700000007 32.03663270000004, 34.77049370000003 32.036481700000024, 34.770898600000066 32.036350500000026, 34.77118910000007 32.03627020000005, 34.77149730000008 32.03620590000003, 34.77180980000003 32.03616000000005, 34.77211150000005 32.03613380000007, 34.772551100000044 32.03611490000003, 34.772941900000035 32.036112900000035, 34.77336600000007 32.03615520000005, 34.77378220000003 32.036227300000064, 34.77427090000003 32.03633570000005, 34.77464050000003 32.036445600000036, 34.77498390000005 32.03656390000003, 34.775395900000035 32.03674860000007, 34.77568720000005 32.03689280000003, 34.776021900000046 32.03706150000005, 34.77626060000006 32.03719140000004, 34.77662950000007 32.03740800000003, 34.777156200000036 32.037720800000045, 34.77750820000006 32.03795780000007, 34.777673193000055 32.03807147500004, 34.77764970000004 32.03799920000006))",POINT (34.773446477832024 32.0364656749192)
14,14,"{'שם הגדולים', 'קדם', 'נגיב מחפוז', 'פחד יצחק', 'יפת', ""צבי צור (צ'רה)""}","{'residential', 'tertiary'}","POLYGON ((34.74686090000006 32.038054000000045, 34.74690790000005 32.03804390000005, 34.74846350000007 32.03771160000008, 34.749464000000046 32.03750820000005, 34.74988170000006 32.03740920000007, 34.749851800000044 32.03737350000006, 34.74970220000006 32.037203100000056, 34.74957690000008 32.037069200000076, 34.74931760000004 32.03679210000007, 34.74905800000005 32.03654250000005, 34.748756300000025 32.036706200000026, 34.74856520000003 32.03684750000008, 34.748502200000075 32.036901700000044, 34.74841920000006 32.03694180000008, 34.74834370000008 32.03694910000007, 34.74826440000004 32.03693190000007, 34.74820340000008 32.03686810000005, 34.74815460000008 32.03678370000006, 34.74806110000003 32.03665270000005, 34.74800060000007 32.036582500000065, 34.74779140000004 32.03636360000007, 34.74739990000006 32.03595400000006, 34.74729190000005 32.036027500000046, 34.74618170000008 32.03633720000005, 34.74631190000008 32.03663850000004, 34.74648120000006 32.037052000000074, 34.74654750000008 32.03726830000005, 34.74660710000006 32.037530600000025, 34.74674090000008 32.03800800000005, 34.74675980000006 32.03807560000007, 34.74686090000006 32.038054000000045))",POINT (34.747750661727885 32.03708124384224)
15,15,"{""אד קוץ'"", 'הרב הלר חיים', 'שדרות ירושלים'}","{'secondary', 'tertiary'}","POLYGON ((34.75551930000006 32.03812110000007, 34.75561700000003 32.038108900000054, 34.755628400000035 32.038107500000024, 34.755674800000065 32.038102700000024, 34.75568750000008 32.03810210000006, 34.755750300000045 32.03809540000003, 34.75594410000008 32.038051100000075, 34.75622480000004 32.03792200000004, 34.75653390000008 32.03774130000005, 34.75660240000008 32.03771190000003, 34.756686700000046 32.03767730000004, 34.757200100000034 32.03746650000005, 34.75757200000004 32.037348000000065, 34.75774210000003 32.03729890000005, 34.757808100000034 32.03727980000008, 34.75786180000006 32.03726380000006, 34.758205100000055 32.037161500000025, 34.75838210000006 32.03709790000005, 34.75855370000005 32.03703420000005, 34.75867710000006 32.03697960000005, 34.75880590000003 32.036902300000065, 34.75889120000005 32.03684750000008, 34.758982900000035 32.036788700000045, 34.75905410000007 32.03675880000003, 34.759081500000036 32.036753100000055, 34.75912790000007 32.03674470000004, 34.759178200000065 32.03674390000003, 34.759216200000026 32.03675070000003, 34.75930740000007 32.03677800000003, 34.759385200000054 32.03681140000003, 34.75930480000005 32.03669320000006, 34.75923500000005 32.03655670000006, 34.759194200000024 32.03644420000006, 34.75918360000003 32.03637450000008, 34.759176800000034 32.036329600000045, 34.75917320000008 32.03627930000005, 34.75917090000007 32.03624770000005, 34.759176000000025 32.03612470000007, 34.759046400000045 32.03623460000006, 34.759036500000036 32.03624300000007, 34.75894000000005 32.03628390000006, 34.758843400000046 32.036306600000046, 34.75865550000003 32.03631800000005, 34.75855050000007 32.03632340000007, 34.75732830000004 32.036319900000024, 34.756687200000044 32.036294800000064, 34.75540280000007 32.03625060000007, 34.75520170000004 32.03628450000008, 34.755107200000054 32.036308200000065, 34.755022100000076 32.036343800000054, 34.754961700000024 32.03638120000005, 34.75491420000003 32.036433600000066, 34.75501850000006 32.03657890000005, 34.755173100000036 32.03686730000004, 34.755435300000045 32.03754440000006, 34.755537900000036 32.03780020000005, 34.75558210000003 32.037890600000026, 34.75540680000006 32.038008700000034, 34.75545180000006 32.03812920000007, 34.75551930000006 32.03812110000007))",POINT (34.756828975349066 32.03693094754731)
16,16,"{'איילון צפון', 'תל גיבורים', 'הלוחמים'}","{'motorway', 'secondary', 'tertiary'}","POLYGON ((34.76364460000008 32.038184700000045, 34.76390740000005 32.038157400000046, 34.764175600000044 32.03811650000006, 34.76427550000005 32.03809200000006, 34.76439640000007 32.03806240000006, 34.76460690000005 32.03800400000006, 34.76473180000005 32.037962400000026, 34.76519270000006 32.03780890000007, 34.76607380000007 32.037523400000055, 34.76854960000003 32.03669570000005, 34.76905997400007 32.03651473900004, 34.76906340000005 32.03643740000007, 34.769074000000046 32.03629300000006, 34.76909960000006 32.036095500000044, 34.76915450000007 32.035691600000064, 34.76918680000006 32.03554410000004, 34.769233600000064 32.03539150000006, 34.76932750000003 32.03512090000004, 34.76913030000003 32.03509360000004, 34.76896940000006 32.03508900000003, 34.76880630000005 32.03511200000003, 34.768638200000055 32.035173400000076, 34.76800440000005 32.03541980000006, 34.76780590000004 32.03550160000003, 34.76640800000007 32.03598050000005, 34.76620890000004 32.03604840000003, 34.76593890000004 32.03617490000005, 34.76509980000003 32.03642270000006, 34.76452960000006 32.03651650000006, 34.76397960000003 32.03656920000003, 34.76362800000004 32.03660250000007, 34.763140700000065 32.03664980000008, 34.76291110000005 32.036662300000046, 34.762544400000024 32.03666590000006, 34.76201200000003 32.03666180000005, 34.76183630000003 32.03665680000006, 34.76174150000003 32.036652600000025, 34.76173980000004 32.036779600000045, 34.761766600000044 32.03689780000008, 34.761798200000044 32.03700610000004, 34.762136800000064 32.03759280000003, 34.762158000000056 32.037603700000034, 34.76217470000006 32.037619300000074, 34.76218520000003 32.03763840000005, 34.762188700000024 32.037659200000064, 34.76218620000003 32.03767600000003, 34.76217920000005 32.03769180000006, 34.762162000000046 32.03771100000006, 34.76213820000004 32.037724300000036, 34.76211060000003 32.03773010000003, 34.762082200000066 32.03772780000003, 34.76205640000006 32.03771770000003, 34.76203600000008 32.03770080000004, 34.76202340000003 32.03767910000005, 34.76202010000003 32.037655200000074, 34.76202630000006 32.037631600000054, 34.761950900000045 32.03749170000003, 34.76176630000003 32.037131800000054, 34.76172200000008 32.03701320000005, 34.76167540000006 32.03688870000008, 34.761653900000056 32.036816000000044, 34.76164860000006 32.03676600000006, 34.76163920000005 32.036640000000034, 34.76150780000006 32.03662540000005, 34.76133610000005 32.03660720000005, 34.76102090000006 32.036552200000074, 34.76091900000006 32.03654340000003, 34.76081170000003 32.03654790000007, 34.760768100000064 32.03655530000003, 34.76073270000006 32.036568800000055, 34.760702700000024 32.036589700000036, 34.76067040000004 32.03662120000007, 34.76064510000003 32.03670660000006, 34.76062010000004 32.03677520000008, 34.76057658800005 32.03685788100006, 34.76067270000004 32.03699330000006, 34.76080950000005 32.037146300000074, 34.760983800000076 32.037311600000066, 34.76121450000005 32.03749810000005, 34.76137540000008 32.03761170000007, 34.76160610000005 32.037743600000056, 34.76178850000008 32.03783460000005, 34.76198960000005 32.03791940000008, 34.76214250000004 32.03798010000003, 34.762378600000034 32.03805280000006, 34.76258780000006 32.03810740000006, 34.76281850000004 32.038148300000046, 34.76305450000007 32.038180200000056, 34.76330120000006 32.038193800000045, 34.76346220000005 32.038193800000045, 34.76364460000008 32.038184700000045), (34.762440000000026 32.037757200000044, 34.76248000000004 32.037724000000026, 34.76245760000006 32.03776810000005, 34.76242430000008 32.03778850000003, 34.762440000000026 32.037757200000044))",POINT (34.76515320953514 32.036861022615035)
17,17,"{'איילון צפון', 'שדרות לוי אשכול', 'איילון דרום'}","{'motorway', 'secondary'}","POLYGON ((34.77856851000007 32.03824563400008, 34.778446700000075 32.03815840000004, 34.777616022000075 32.037581156000044, 34.77761860000004 32.03769340000002, 34.77764970000004 32.03799920000006, 34.777673193000055 32.03807147500004, 34.778230378000046 32.03845535900007, 34.77856851000007 32.03824563400008))",POINT (34.77802224329531 32.03806896131824)
18,18,"{'איילון צפון', 'תל גיבורים', 'איילון דרום'}","{'motorway', 'tertiary'}","POLYGON ((34.763908800000024 32.03849930000007, 34.76419930000003 32.03848850000003, 34.764508000000035 32.03847120000006, 34.764864200000034 32.03843710000007, 34.76519920000004 32.038392800000054, 34.76569400000005 32.038297700000044, 34.76573900000005 32.03828760000005, 34.766467300000045 32.03810720000007, 34.76683370000006 32.03799030000005, 34.767246800000066 32.03786300000007, 34.768012300000066 32.03757150000007, 34.768894500000044 32.03715040000003, 34.76906510200007 32.03706913100007, 34.76905300000004 32.03689820000005, 34.76905300000004 32.036672200000055, 34.76905997400007 32.03651473900004, 34.76854960000003 32.03669570000005, 34.76607380000007 32.037523400000055, 34.76519270000006 32.03780890000007, 34.76473180000005 32.037962400000026, 34.76460690000005 32.03800400000006, 34.76439640000007 32.03806240000006, 34.76427550000005 32.03809200000006, 34.764175600000044 32.03811650000006, 34.76390740000005 32.038157400000046, 34.76364460000008 32.038184700000045, 34.76346220000005 32.038193800000045, 34.76330120000006 32.038193800000045, 34.76305450000007 32.038180200000056, 34.76281850000004 32.038148300000046, 34.76258780000006 32.03810740000006, 34.762378600000034 32.03805280000006, 34.76214250000004 32.03798010000003, 34.76198960000005 32.03791940000008, 34.76178850000008 32.03783460000005, 34.76160610000005 32.037743600000056, 34.76137540000008 32.03761170000007, 34.76121450000005 32.03749810000005, 34.760983800000076 32.037311600000066, 34.76080950000005 32.037146300000074, 34.76067270000004 32.03699330000006, 34.76057658800005 32.03685788100006, 34.76057100000003 32.036868500000026, 34.760527800000034 32.036929600000065, 34.76043660000005 32.03710240000004, 34.76040980000005 32.037170600000024, 34.760390802000074 32.03723514200004, 34.76039210000005 32.03723660000003, 34.760537500000055 32.037388200000066, 34.76074240000003 32.03757880000006, 34.760948100000064 32.03775200000007, 34.76116060000004 32.037893000000054, 34.76134810000008 32.03800780000006, 34.76159800000005 32.03813830000007, 34.761856900000055 32.03824860000003, 34.76211490000003 32.038330200000075, 34.76238850000004 32.038402500000075, 34.76267790000003 32.03845780000006, 34.76290780000005 32.038490300000035, 34.763222100000064 32.038504200000034, 34.76354640000005 32.03850600000004, 34.763908800000024 32.03849930000007))",POINT (34.76530247891248 32.0377338371983)
19,19,"{'שדרות לוי אשכול', 'איילון דרום'}","{'motorway', 'secondary'}","POLYGON ((34.778230378000046 32.03845535900007, 34.777673193000055 32.03807147500004, 34.77770460000005 32.038168100000064, 34.77777580000003 32.038356700000065, 34.77782650000006 32.03844040000007, 34.77790780000004 32.03855760000005, 34.77795510000004 32.038626100000045, 34.778230378000046 32.03845535900007))",POINT (34.77793559273339 32.038380636278916)
